Japanese,English
何,what
あ,ah
あなた,you
言,words
行,line
人,people
知,knowledge
事,case
彼女,she
お前,you
話,story
来,Next
分か,Minutes
者,person
聞,Listen
死,death
時,time
ああ,ah
殺,murder
前,before
中,Medium
達,reach
必要,need
あの,that
気,air
大丈夫,Are you okay
自分,myself
持,Hold
本当,TRUE
時間,time
我々,we
的,target
無,Nothing
ありがとう,thank you
家,house
会,Association
日,day
年,year
仕事,work
手,hand
一緒,together
後,rear
出来,Done
他,others
入,Enter
電話,phone
目,eye
様,Mr.
分,minutes
車,car
所,place
あんた,You
度,Degree
同じ,same
場所,place
問題,problem
子供,child
愛,love
金,gold
名前,name
子,child
信,Faith
さあ,here we go
少し,a bit
使,messenger
全て,all
世界,world
教え,lesson
通り,street
来る,come
上,above
入れ,Get in
人間,human
行け,GO
今日,today
物,thing
女,woman
呼,call
生き,Living
あれ,That
じゃあ,Well then
止め,Stop
心配,anxiety
母,mother
連れ,Companion
関係,relationship
外,outside
家族,family
起き,Wake up
意味,meaning
神,God
警察,police
力,force
最後,last
作,Made by
次,Next
息子,son
取,Tori
全部,All
間,between
書,calligraphy
捜査,investigation
起こ,Wake up
回,times
別,another
情報,information
理由,reason
数,number
一人,One person
部屋,room
以上,End
人生,life
急,Urgent
食べ,Eat
女性,woman
続け,Continue
事件,incident
始め,Beginning
最初,first
連絡,contact
まあ,oh dear
調べ,Research
安全,safety
下さ,Down
楽し,Fun
殺人,murder
下,under
万,Ten thousand
友達,friend
約束,promise
二,two
結婚,marriage
無理,Impossible
感じ,Feeling
得,profit
最高,the best
送,Sending
計画,plan
仲間,fellow
先,destination
可能,Possible
あいつ,That guy
あと,After
明日,tomorrow
変わ,Change
聞こえ,Hearing
確認,confirmation
命,life
着,arrival
与え,Give
全員,Everyone
動,motion
理解,understanding
二人,two people
開け,Open
友人,friend
機,machine
不,No
あげ,Give
離れ,Annex
戦,Battle
先生,teacher
言え,Say
質問,question
置,Place
犯人,culprit
受け,received
感,Feeling
第,No.
あぁ,Ah
伝え,Tell
素晴らし,Wonderful
ドア,door
本,Books
乗,Ride
用,for
感謝,thanks
正し,Correct
言葉,words
大,large
立,standing
写真,photograph
２人,2 people
説明,explanation
博士,doctor
強,strength
絶対,absolute
座,seat
国,country
向か,Towards
名,given name
ある,be
野郎,Bastard
番,No.
一番,number one
重要,important
状況,situation
元気,fine
水,water
変え,Change
十分,sufficient
週間,week
やあ,Hi
父親,father
間違い,error
王,king
了解,roger that
相手,partner
員,member
声,voice
会え,Meet
音,sound
多く,Many
消え,vanish
会社,company
簡単,easy
選,Selection
残念,disappointing
自由,freedom
自身,Self
等,etc.
一体,Together
人々,people
報告,report
読,Read
過ぎ,past
通,General
アメリカ,America
元,Former
命令,instruction
高,high
体,body
大統領,president
月,month
警官,police officer
語,word
学校,school
対,versus
決め,Decision
真実,truth
初めて,first time
口,mouth
大変,hard
要,Essential
変,strange
戦争,war
学,study
あそこ,over there
武器,weapon
店,shop
母親,mother
刑事,detective
気持ち,feeling
間違,mistake
運,luck
記録,record
光,light
手伝,help
深,deep
落ち着,Calm down
存在,existence
実,fruit
役,Role
病院,hospital
住,residence
責任,responsibility
あっ,Ah
普通,usually
行動,action
大きな,Large
監視,Monitoring
協力,cooperation
多分,perhaps
実際,actual
足,feet
地球,earth
生活,life
任せ,leave to
気分,feeling
解決,solution
結果,result
調査,investigation
研究,the study
何処,where
発見,discovery
場,place
大事,Important
止ま,Stop
興味,interest
大き,Large
生,raw
なあ,Hey
運転,driving
ヶ月,months
